site,cones,live.basal.area,total.standing.basal.area,mean_live_dbh
Atl1_20,0,0.10673561,0.141371669,8.25
Atl1_21,4,0.10673561,0.141371669,8.25
Atl1_22,6,0.10673561,0.141371669,8.25
Atl3_20,0,0.003848451,0.154173661,7
Atl3_21,0,0.003848451,0.154173661,7
Atl3_22,0,0.003848451,0.154173661,7
DL1_20,,0.399453505,0.537919198,7.153846154
DL1_21,26,0.399453505,0.537919198,7.153846154
DL1_22,0,0.399453505,0.537919198,7.153846154
DL2_20,,0.516949068,3.854262941,7.121212121
DL2_21,19,0.516949068,3.854262941,7.121212121
DL2_22,0,0.516949068,3.854262941,7.121212121
DryFork2_20,11,0.23522675,0.290597321,8.882352941
DryFork2_21,105,0.23522675,0.290597321,8.882352941
DryFork2_22,84,0.23522675,0.290597321,8.882352941
Fire1_20,0,0.013273229,0.134695785,6.5
Fire1_21,0,0.013273229,0.134695785,6.5
Fire1_22,0,0.013273229,0.134695785,6.5
Fire3_20,12,0.038405969,0.038405969,4.363636364
Fire3_21,27,0.038405969,0.038405969,4.363636364
Fire3_22,1,0.038405969,0.038405969,4.363636364
Gab1_20,30,0.77424551,3.896831532,19.2
Gab1_21,95,0.77424551,3.896831532,19.2
Gab1_22,0,0.77424551,3.896831532,19.2
Gab3_20,123,0.036363933,0.036678092,1.789473684
Gab3_21,214,0.036363933,0.036678092,1.789473684
Gab3_22,63,0.036363933,0.036678092,1.789473684
Kup1_20,124,1.759684589,3.565707668,15.875
Kup1_21,526,1.759684589,3.565707668,15.875
Kup1_22,75,1.759684589,3.565707668,15.875
Kup3_20,80,0.544673625,6.506159854,15.41666667
Kup3_21,74,0.544673625,6.506159854,15.41666667
Kup3_22,17,0.544673625,6.506159854,15.41666667
Numa1_20,0,0.10673561,0.521818542,3.916666667
Numa1_21,7,0.10673561,0.521818542,3.916666667
Numa1_22,0,0.10673561,0.521818542,3.916666667
Numa3_20,2,0.356570756,0.819484435,3.303571429
Numa3_21,13,0.356570756,0.819484435,3.303571429
Numa3_22,13,0.356570756,0.819484435,3.303571429
Oldman_20,320,4.233374641,6.022511657,29.58139535
Oldman_21,535,4.233374641,6.022511657,29.58139535
Oldman_22,325,4.233374641,6.022511657,29.58139535
Poia1_20,7,0.364267667,0.364267667,4.545454545
Poia1_21,0,0.364267667,0.364267667,4.545454545
Poia1_22,28,0.364267667,0.364267667,4.545454545
Poia3_20,0,0.005811946,1.054946813,6
Poia3_21,0,0.005811946,1.054946813,6
Poia3_22,0,0.005811946,1.054946813,6
Scenic1_20,116,1.744055153,5.743066984,7.463636364
Scenic1_21,226,1.744055153,5.743066984,7.463636364
Scenic1_22,266,1.744055153,5.743066984,7.463636364
Scenic2_20,103,1.104348355,7.473534763,6.888888889
Scenic2_21,67,1.104348355,7.473534763,6.888888889
Scenic2_22,98,1.104348355,7.473534763,6.888888889
Siyeh2_20,10,0.136737817,0.191951308,4.826086957
Siyeh2_21,48,0.136737817,0.191951308,4.826086957
Siyeh2_22,12,0.136737817,0.191951308,4.826086957
Siyeh3_20,27,2.391458868,14.04661053,36.09090909
Siyeh3_21,50,2.391458868,14.04661053,36.09090909
Siyeh3_22,6,2.391458868,14.04661053,36.09090909
