site,site.group.ind
Atl1_20,1
Atl1_21,1
Atl1_22,1
Atl3_20,1
Atl3_21,1
Atl3_22,1
DL1_20,3
DL1_21,3
DL1_22,3
DL2_20,3
DL2_21,3
DL2_22,3
DryFork2_20,2
DryFork2_21,2
DryFork2_22,2
Fire1_20,4
Fire1_21,4
Fire1_22,4
Fire3_20,4
Fire3_21,4
Fire3_22,4
Gab1_20,5
Gab1_21,5
Gab1_22,5
Gab3_20,5
Gab3_21,5
Gab3_22,5
Kup1_20,6
Kup1_21,6
Kup1_22,6
Kup3_20,6
Kup3_21,6
Kup3_22,6
Numa1_20,7
Numa1_21,7
Numa1_22,7
Numa3_20,7
Numa3_21,7
Numa3_22,7
Oldman_20,2
Oldman_21,2
Oldman_22,2
Poia1_20,8
Poia1_21,8
Poia1_22,8
Poia3_20,8
Poia3_21,8
Poia3_22,8
Scenic1_20,9
Scenic1_21,9
Scenic1_22,9
Scenic2_20,9
Scenic2_21,9
Scenic2_22,9
Siyeh2_20,10
Siyeh2_21,10
Siyeh2_22,10
Siyeh3_20,10
Siyeh3_21,10
Siyeh3_22,10
