site,intercept,year
Atl1_20,1,2020
Atl1_21,1,2021
Atl1_22,1,2022
Atl2_20,1,2020
Atl2_21,1,2021
Atl2_22,1,2022
Atl3_20,1,2020
Atl3_21,1,2021
Atl3_22,1,2022
DL1_20,1,2020
DL1_21,1,2021
DL1_22,1,2022
DL2_20,1,2020
DL2_21,1,2021
DL2_22,1,2022
DL3_20,1,2020
DL3_21,1,2021
DL3_22,1,2022
DryFork1_20,1,2020
DryFork1_21,1,2021
DryFork1_22,1,2022
DryFork2_20,1,2020
DryFork2_21,1,2021
DryFork2_22,1,2022
Fire1_20,1,2020
Fire1_21,1,2021
Fire1_22,1,2022
Fire2_20,1,2020
Fire2_21,1,2021
Fire2_22,1,2022
Fire3_20,1,2020
Fire3_21,1,2021
Fire3_22,1,2022
Gab1_20,1,2020
Gab1_21,1,2021
Gab1_22,1,2022
Gab2_20,1,2020
Gab2_21,1,2021
Gab2_22,1,2022
Gab3_20,1,2020
Gab3_21,1,2021
Gab3_22,1,2022
Kup1_20,1,2020
Kup1_21,1,2021
Kup1_22,1,2022
Kup2_20,1,2020
Kup2_21,1,2021
Kup2_22,1,2022
Kup3_20,1,2020
Kup3_21,1,2021
Kup3_22,1,2022
Numa1_20,1,2020
Numa1_21,1,2021
Numa1_22,1,2022
Numa2_20,1,2020
Numa2_21,1,2021
Numa2_22,1,2022
Numa3_20,1,2020
Numa3_21,1,2021
Numa3_22,1,2022
Oldman_20,1,2020
Oldman_21,1,2021
Oldman_22,1,2022
Poia1_20,1,2020
Poia1_21,1,2021
Poia1_22,1,2022
Poia2_20,1,2020
Poia2_21,1,2021
Poia2_22,1,2022
Poia3_20,1,2020
Poia3_21,1,2021
Poia3_22,1,2022
Scenic1_20,1,2020
Scenic1_21,1,2021
Scenic1_22,1,2022
Scenic2_20,1,2020
Scenic2_21,1,2021
Scenic2_22,1,2022
Siyeh1_20,1,2020
Siyeh1_21,1,2021
Siyeh1_22,1,2022
Siyeh2_20,1,2020
Siyeh2_21,1,2021
Siyeh2_22,1,2022
Siyeh3_20,1,2020
Siyeh3_21,1,2021
Siyeh3_22,1,2022
Siyeh4_20,1,2020
Siyeh4_21,1,2021
Siyeh4_22,1,2022
